iter	Logloss
0	0.6598958368
1	0.631246407
2	0.6052823708
3	0.5804755838
4	0.5605070095
5	0.5430189642
6	0.5278575241
7	0.512766293
8	0.5013882796
9	0.490872421
10	0.481335519
11	0.4732797756
12	0.4649072018
13	0.4574701229
14	0.451409282
15	0.4454333202
16	0.4407874445
17	0.4361868278
18	0.4321566731
19	0.4281227713
20	0.4254839857
21	0.4229548119
22	0.4195160491
23	0.4171056665
24	0.4141523921
25	0.4122968054
26	0.4098900956
27	0.4079353366
28	0.4065799003
29	0.4045991554
30	0.4035095492
31	0.4020695049
32	0.4003947741
33	0.3992197425
34	0.3980234054
35	0.3962998105
36	0.3953039881
37	0.393793667
38	0.3926625127
39	0.3917837883
40	0.3906400523
41	0.3886851235
42	0.3875151409
43	0.3859380931
44	0.3848396177
45	0.3837592974
46	0.382671095
47	0.3814975472
48	0.3805278229
49	0.3798697964
50	0.3788620901
51	0.377924891
52	0.3773314017
53	0.3764884403
54	0.3755636587
55	0.3748839125
56	0.3730401303
57	0.3722775029
58	0.3715329842
59	0.3704695294
60	0.3696236657
61	0.3688351193
62	0.3685605604
63	0.3678176945
64	0.3672204632
65	0.3661454447
66	0.3655645303
67	0.3650386503
68	0.3644227322
69	0.3638423848
70	0.3629632926
71	0.3619977533
72	0.3613512287
73	0.3607101527
74	0.3599853484
75	0.3595452052
76	0.3589931187
77	0.3585513631
78	0.3583605648
79	0.3578709558
80	0.3573595563
81	0.3567984621
82	0.3557599981
83	0.3552307188
84	0.3547084134
85	0.3541155778
86	0.3535993107
87	0.3530630218
88	0.352595094
89	0.3522248708
90	0.3517702389
91	0.3510265187
92	0.3502677205
93	0.3497413688
94	0.3493708834
95	0.3490081858
96	0.3485936726
97	0.3476133447
98	0.346999853
99	0.3467215371
100	0.3464280192
101	0.346226601
102	0.3459563454
103	0.3456018695
104	0.3448616811
105	0.3442828032
106	0.3436700565
107	0.3433548176
108	0.3427241786
109	0.3422424339
110	0.3417011012
111	0.3409388873
112	0.3406391615
113	0.3403795823
114	0.3398747764
115	0.3393604579
116	0.3390866375
117	0.3388305077
118	0.3385691934
119	0.3383762048
120	0.337907737
121	0.3376172841
122	0.3370604015
123	0.3367832086
124	0.3364882254
125	0.335790176
126	0.3352962612
127	0.3349098107
128	0.3345874994
129	0.3342571096
130	0.3340225243
131	0.3335588258
132	0.333111391
133	0.332708324
134	0.3323738015
135	0.3317182034
136	0.3313553156
137	0.3309766486
138	0.3306488498
139	0.3302988181
140	0.3298915175
141	0.3294116374
142	0.3289777435
143	0.3286239937
144	0.3283150276
145	0.3279343926
146	0.3277682905
147	0.3270730734
148	0.3267763717
149	0.3262967402
150	0.3261022464
151	0.3256650342
152	0.3253039682
153	0.3251692951
154	0.3247318397
155	0.3242731452
156	0.3240167982
157	0.3238509716
158	0.3236495767
159	0.323306915
160	0.3230798953
161	0.3228762574
162	0.3223656003
163	0.3214782502
164	0.3209772131
165	0.3204708048
166	0.3202605329
167	0.3199838255
168	0.3195327698
169	0.3191896277
170	0.3187765353
171	0.3185769701
172	0.3183432112
173	0.3179277449
174	0.3175827388
175	0.3171758713
176	0.3170990864
177	0.3166095179
178	0.3162132135
179	0.3160556456
180	0.3149889587
181	0.3146683134
182	0.3144455067
183	0.3141473083
184	0.3139166217
185	0.3134271692
186	0.3129718205
187	0.3123472285
188	0.3120975549
189	0.3116548698
190	0.3113235634
191	0.3107905655
192	0.3105182755
193	0.3100267284
194	0.3098478111
195	0.3096933256
196	0.3093957304
197	0.3091137042
198	0.308611848
199	0.3084286112
200	0.30824148
201	0.3074934097
202	0.3070470173
203	0.3068026012
204	0.3066453658
205	0.3059860785
206	0.3051871543
207	0.3049687724
208	0.3044334568
209	0.3034756992
210	0.3032955239
211	0.3030204738
212	0.3026927695
213	0.3023657564
214	0.3018587769
215	0.3017408994
216	0.3015651496
217	0.3011987035
218	0.3009144577
219	0.3004957921
220	0.3001079539
221	0.2997159268
222	0.2993913003
223	0.2989423801
224	0.2986029101
225	0.2983282235
226	0.2977108399
227	0.2974492872
228	0.2971521208
229	0.296945826
230	0.2966314001
231	0.2958410869
232	0.2955970987
233	0.2950984171
234	0.2949211557
235	0.2946240948
236	0.2941769861
237	0.2939619558
238	0.2937549613
239	0.2933610335
240	0.2932279335
241	0.2928363114
242	0.292135704
243	0.2919081785
244	0.291373494
245	0.2907296169
246	0.2903429095
247	0.2901849728
248	0.2899978305
249	0.2896467677
250	0.2894978549
251	0.2891785814
252	0.2886316171
253	0.2884156971
254	0.2880827729
255	0.2875566888
256	0.287321202
257	0.2868853686
258	0.286491775
259	0.2863334355
260	0.286212947
261	0.2860102878
262	0.2858268962
263	0.2853935706
264	0.2845472565
265	0.2842857892
266	0.2841802499
267	0.2836972602
268	0.2833306936
269	0.2825714182
270	0.2822826977
271	0.2818132827
272	0.2814753614
273	0.2810235205
274	0.2807038493
275	0.2803190779
276	0.2800109803
277	0.2797031481
278	0.2792400231
279	0.2789097609
280	0.2787241844
281	0.278550802
282	0.2782419718
283	0.278100008
284	0.2778247358
285	0.2773589904
286	0.2770598036
287	0.2764505354
288	0.276174339
289	0.2756429914
290	0.2751897427
291	0.2750308098
292	0.2747100428
293	0.2745229355
294	0.2742990955
295	0.2741060825
296	0.2737227832
297	0.2733742148
298	0.2732257677
299	0.2730016178
